"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
0,0,0,1e-10,0,40116,-0.030472,3.7313,1.1367e-16,2.25
-0.0093802,-1.0202e-06,0.00036909,5.1944e-07,3.7272e-11,23399,-0.030472,3.7313,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.02858,3.7793,-5.5511e-17,2.25
-0.0092527,-1.1058e-06,0.00040004,5.1175e-07,3.7141e-11,23399,-0.028579,3.7793,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.026689,3.8274,2.8284e-16,2.25
-0.0091192,-1.186e-06,0.00043171,5.0362e-07,3.698e-11,23399,-0.026689,3.8274,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.024803,3.8754,-5.5511e-17,2.25
-0.0089804,-1.2604e-06,0.0004641,4.951e-07,3.679e-11,23399,-0.024803,3.8754,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.022923,3.9235,-5.5511e-17,2.25
-0.0088366,-1.3293e-06,0.0004972,4.8626e-07,3.6572e-11,23399,-0.022922,3.9235,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.02105,3.9715,-3.9386e-16,2.25
-0.0086883,-1.3962e-06,0.000531,4.7715e-07,3.6331e-11,23399,-0.02105,3.9715,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.019186,4.0195,-5.5511e-17,2.25
-0.0085359,-1.4663e-06,0.00056549,4.678e-07,3.6068e-11,23399,-0.019186,4.0196,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.017332,4.0676,-2.2469e-16,2.25
-0.0083799,-1.5328e-06,0.00060065,4.5828e-07,3.5784e-11,23399,-0.017332,4.0676,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.01549,4.1156,-5.5511e-17,2.25
-0.0082206,-1.5892e-06,0.00063646,4.4862e-07,3.5482e-11,23399,-0.01549,4.1156,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.01366,4.1637,-5.5511e-17,2.25
