x,y,z,U_0,U_1,U_2
2.36887,1.12748,0.05,0.0204304,-0.00203911,-3.85456e-22
2.36887,1.13052,0.05,0.0204855,-0.00203697,-4.70194e-22
2.36887,1.13356,0.05,0.0205386,-0.00203512,-7.08553e-22
2.36887,1.1366,0.05,0.0205917,-0.00203328,-9.5019e-22
2.36887,1.13964,0.05,0.0206448,-0.00203144,-1.19183e-21
2.36887,1.14268,0.05,0.0206975,-0.00202947,-1.29972e-21
2.36887,1.14572,0.05,0.0207499,-0.00202737,-1.27254e-21
2.36887,1.14876,0.05,0.0208022,-0.00202526,-1.24537e-21
2.36887,1.1518,0.05,0.0208545,-0.00202316,-1.21819e-21
2.36887,1.15483,0.05,0.0209068,-0.00202106,-1.19101e-21
2.36887,1.15787,0.05,0.020957,-0.00201872,-7.84786e-22
2.36887,1.16091,0.05,0.021007,-0.00201637,-3.62463e-22
2.36887,1.16395,0.05,0.0210571,-0.00201403,5.98592e-23
2.36887,1.16699,0.05,0.0211065,-0.00201182,5.35904e-22
2.36887,1.17003,0.05,0.021155,-0.00200976,1.07212e-21
